case,image,kind,effort,distance,mode,bytes,quality
campus_interior-visual-e4-d3,campus_interior-visual,photographic,4,3.0,both,217259,68.13542240521734
campus_interior-visual-e4-d3,campus_interior-visual,photographic,4,3.0,default,213372,66.36348465973082
campus_interior-visual-e4-d3,campus_interior-visual,photographic,4,3.0,quantize,217012,68.33210405445507
campus_interior-visual-e4-d3,campus_interior-visual,photographic,4,3.0,smooth,213551,66.3698462906925
campus_interior-visual-e4-d6,campus_interior-visual,photographic,4,6.0,both,110325,43.479945516052965
campus_interior-visual-e4-d6,campus_interior-visual,photographic,4,6.0,default,103813,41.85888238717464
campus_interior-visual-e4-d6,campus_interior-visual,photographic,4,6.0,quantize,110109,44.12002416891137
campus_interior-visual-e4-d6,campus_interior-visual,photographic,4,6.0,smooth,103518,41.12718231756847
campus_interior-visual-e7-d1.2,campus_interior-visual,photographic,7,1.2,both,433920,85.50997054711391
campus_interior-visual-e7-d1.2,campus_interior-visual,photographic,7,1.2,default,425537,85.07873651034956
campus_interior-visual-e7-d1.2,campus_interior-visual,photographic,7,1.2,quantize,433852,85.56294215244912
campus_interior-visual-e7-d1.2,campus_interior-visual,photographic,7,1.2,smooth,425709,85.08221324667053
campus_interior-visual-e7-d3,campus_interior-visual,photographic,7,3.0,both,192286,69.40195735267174
campus_interior-visual-e7-d3,campus_interior-visual,photographic,7,3.0,default,187977,67.3822091041709
campus_interior-visual-e7-d3,campus_interior-visual,photographic,7,3.0,quantize,192615,69.91648110036294
campus_interior-visual-e7-d3,campus_interior-visual,photographic,7,3.0,smooth,188000,67.365715847704
campus_interior-visual-e7-d6,campus_interior-visual,photographic,7,6.0,both,100077,48.55335346051245
campus_interior-visual-e7-d6,campus_interior-visual,photographic,7,6.0,default,93555,46.352339923807364
campus_interior-visual-e7-d6,campus_interior-visual,photographic,7,6.0,quantize,99753,49.3165354153227
campus_interior-visual-e7-d6,campus_interior-visual,photographic,7,6.0,smooth,93223,45.63643576251745
forest_stream-visual-e3-d1.2,forest_stream-visual,photographic,3,1.2,both,1094553,80.619346798064
forest_stream-visual-e3-d1.2,forest_stream-visual,photographic,3,1.2,default,1081642,80.55812089700186
forest_stream-visual-e3-d1.2,forest_stream-visual,photographic,3,1.2,quantize,1094554,80.62377155966256
forest_stream-visual-e3-d1.2,forest_stream-visual,photographic,3,1.2,smooth,1081641,80.5530615843922
forest_stream-visual-e3-d3,forest_stream-visual,photographic,3,3.0,both,538007,59.756726183290525
forest_stream-visual-e3-d3,forest_stream-visual,photographic,3,3.0,default,526920,59.58297669931397
forest_stream-visual-e3-d3,forest_stream-visual,photographic,3,3.0,quantize,538008,59.77483094276118
forest_stream-visual-e3-d3,forest_stream-visual,photographic,3,3.0,smooth,526919,59.57651755408254
forest_stream-visual-e3-d6,forest_stream-visual,photographic,3,6.0,both,275086,30.354399598071524
forest_stream-visual-e3-d6,forest_stream-visual,photographic,3,6.0,default,264414,29.80582588576965
forest_stream-visual-e3-d6,forest_stream-visual,photographic,3,6.0,quantize,275087,30.47130809074155
forest_stream-visual-e3-d6,forest_stream-visual,photographic,3,6.0,smooth,264413,29.721214347781437
forest_stream-visual-e4-d1.2,forest_stream-visual,photographic,4,1.2,both,1076166,80.23254365600563
forest_stream-visual-e4-d1.2,forest_stream-visual,photographic,4,1.2,default,1063192,80.17311328766571
forest_stream-visual-e4-d1.2,forest_stream-visual,photographic,4,1.2,quantize,1076153,80.23761874451063
forest_stream-visual-e4-d1.2,forest_stream-visual,photographic,4,1.2,smooth,1063190,80.17315083836868
forest_stream-visual-e4-d3,forest_stream-visual,photographic,4,3.0,both,507626,57.79321322073447
forest_stream-visual-e4-d3,forest_stream-visual,photographic,4,3.0,default,496633,57.63534583492982
forest_stream-visual-e4-d3,forest_stream-visual,photographic,4,3.0,quantize,507631,57.81380843370499
forest_stream-visual-e4-d3,forest_stream-visual,photographic,4,3.0,smooth,496612,57.617455699263964
forest_stream-visual-e4-d6,forest_stream-visual,photographic,4,6.0,both,250643,25.58508230158587
forest_stream-visual-e4-d6,forest_stream-visual,photographic,4,6.0,default,239941,25.101927069405868
forest_stream-visual-e4-d6,forest_stream-visual,photographic,4,6.0,quantize,250629,25.704642492200023
forest_stream-visual-e4-d6,forest_stream-visual,photographic,4,6.0,smooth,239945,25.025060144682207
forest_stream-visual-e7-d1.2,forest_stream-visual,photographic,7,1.2,both,1076737,80.25228695911525
forest_stream-visual-e7-d1.2,forest_stream-visual,photographic,7,1.2,default,1063953,80.18607936961958
forest_stream-visual-e7-d1.2,forest_stream-visual,photographic,7,1.2,quantize,1076745,80.26023783548882
forest_stream-visual-e7-d1.2,forest_stream-visual,photographic,7,1.2,smooth,1063946,80.17769571478712
forest_stream-visual-e7-d3,forest_stream-visual,photographic,7,3.0,both,459446,57.31006822831644
forest_stream-visual-e7-d3,forest_stream-visual,photographic,7,3.0,default,448356,57.12974004975087
forest_stream-visual-e7-d3,forest_stream-visual,photographic,7,3.0,quantize,459348,57.333421327748496
forest_stream-visual-e7-d3,forest_stream-visual,photographic,7,3.0,smooth,448420,57.11337429690202
forest_stream-visual-e7-d6,forest_stream-visual,photographic,7,6.0,both,222317,29.99934954144786
forest_stream-visual-e7-d6,forest_stream-visual,photographic,7,6.0,default,211802,29.485178917444557
forest_stream-visual-e7-d6,forest_stream-visual,photographic,7,6.0,quantize,222408,30.172071284724076
forest_stream-visual-e7-d6,forest_stream-visual,photographic,7,6.0,smooth,211808,29.40594990438072
gray-gradient-e3-d1.2,gray-gradient,synthetic-gradient,3,1.2,both,3038,97.00041730270446
gray-gradient-e3-d1.2,gray-gradient,synthetic-gradient,3,1.2,default,1652,95.31420587450926
gray-gradient-e3-d1.2,gray-gradient,synthetic-gradient,3,1.2,quantize,3039,96.64808534324108
gray-gradient-e3-d1.2,gray-gradient,synthetic-gradient,3,1.2,smooth,1651,96.64541551292076
gray-gradient-e3-d3,gray-gradient,synthetic-gradient,3,3.0,both,1554,96.5442195507166
gray-gradient-e3-d3,gray-gradient,synthetic-gradient,3,3.0,default,914,90.98655259044664
gray-gradient-e3-d3,gray-gradient,synthetic-gradient,3,3.0,quantize,1555,95.05805976118691
gray-gradient-e3-d3,gray-gradient,synthetic-gradient,3,3.0,smooth,913,93.78319173652322
gray-gradient-e3-d6,gray-gradient,synthetic-gradient,3,6.0,both,970,94.38019531040891
gray-gradient-e3-d6,gray-gradient,synthetic-gradient,3,6.0,default,614,84.6639729266625
gray-gradient-e3-d6,gray-gradient,synthetic-gradient,3,6.0,quantize,971,91.71267313436087
gray-gradient-e3-d6,gray-gradient,synthetic-gradient,3,6.0,smooth,613,89.1779625546865
gray-gradient-e4-d1.2,gray-gradient,synthetic-gradient,4,1.2,both,4140,97.05814807530962
gray-gradient-e4-d1.2,gray-gradient,synthetic-gradient,4,1.2,default,5855,95.31844934241717
gray-gradient-e4-d1.2,gray-gradient,synthetic-gradient,4,1.2,quantize,3904,96.68377549796489
gray-gradient-e4-d1.2,gray-gradient,synthetic-gradient,4,1.2,smooth,4051,96.74109782226314
gray-gradient-e4-d3,gray-gradient,synthetic-gradient,4,3.0,both,3531,96.56523760707324
gray-gradient-e4-d3,gray-gradient,synthetic-gradient,4,3.0,default,5929,91.20692506038992
gray-gradient-e4-d3,gray-gradient,synthetic-gradient,4,3.0,quantize,5299,95.09574905608113
gray-gradient-e4-d3,gray-gradient,synthetic-gradient,4,3.0,smooth,5993,93.80574268768481
gray-gradient-e4-d6,gray-gradient,synthetic-gradient,4,6.0,both,5318,94.46436948000094
gray-gradient-e4-d6,gray-gradient,synthetic-gradient,4,6.0,default,4345,84.82894228903935
gray-gradient-e4-d6,gray-gradient,synthetic-gradient,4,6.0,quantize,6039,91.84989279245691
gray-gradient-e4-d6,gray-gradient,synthetic-gradient,4,6.0,smooth,5149,89.50299984576577
gray-gradient-e7-d1.2,gray-gradient,synthetic-gradient,7,1.2,both,3223,97.00998054414633
gray-gradient-e7-d1.2,gray-gradient,synthetic-gradient,7,1.2,default,1708,95.10441292554027
gray-gradient-e7-d1.2,gray-gradient,synthetic-gradient,7,1.2,quantize,3176,96.5523544545829
gray-gradient-e7-d1.2,gray-gradient,synthetic-gradient,7,1.2,smooth,1695,96.58019507246152
gray-gradient-e7-d3,gray-gradient,synthetic-gradient,7,3.0,both,1598,96.49752808865301
gray-gradient-e7-d3,gray-gradient,synthetic-gradient,7,3.0,default,974,90.24638414986117
gray-gradient-e7-d3,gray-gradient,synthetic-gradient,7,3.0,quantize,1561,94.66956079250973
gray-gradient-e7-d3,gray-gradient,synthetic-gradient,7,3.0,smooth,977,93.66968618241671
gray-gradient-e7-d6,gray-gradient,synthetic-gradient,7,6.0,both,1053,94.28349809531014
gray-gradient-e7-d6,gray-gradient,synthetic-gradient,7,6.0,default,1023,83.89054438904274
gray-gradient-e7-d6,gray-gradient,synthetic-gradient,7,6.0,quantize,1058,91.30522848907766
gray-gradient-e7-d6,gray-gradient,synthetic-gradient,7,6.0,smooth,763,89.19019090630786
dark-gradient-e3-d1.2,dark-gradient,synthetic-gradient,3,1.2,both,2551,98.9309645054339
dark-gradient-e3-d1.2,dark-gradient,synthetic-gradient,3,1.2,default,1387,96.09782173712685
dark-gradient-e3-d1.2,dark-gradient,synthetic-gradient,3,1.2,quantize,2552,98.11395908674277
dark-gradient-e3-d1.2,dark-gradient,synthetic-gradient,3,1.2,smooth,1386,97.78785519378022
dark-gradient-e3-d3,dark-gradient,synthetic-gradient,3,3.0,both,1287,97.46982596423322
dark-gradient-e3-d3,dark-gradient,synthetic-gradient,3,3.0,default,775,91.66601741520843
dark-gradient-e3-d3,dark-gradient,synthetic-gradient,3,3.0,quantize,1288,95.6991576968443
dark-gradient-e3-d3,dark-gradient,synthetic-gradient,3,3.0,smooth,774,94.29574093816643
dark-gradient-e3-d6,dark-gradient,synthetic-gradient,3,6.0,both,816,94.7605827581999
dark-gradient-e3-d6,dark-gradient,synthetic-gradient,3,6.0,default,542,85.56368987137435
dark-gradient-e3-d6,dark-gradient,synthetic-gradient,3,6.0,quantize,817,92.32906813530603
dark-gradient-e3-d6,dark-gradient,synthetic-gradient,3,6.0,smooth,541,89.59159962291766
dark-gradient-e4-d1.2,dark-gradient,synthetic-gradient,4,1.2,both,4746,98.93405318287043
dark-gradient-e4-d1.2,dark-gradient,synthetic-gradient,4,1.2,default,6502,96.03927884545847
dark-gradient-e4-d1.2,dark-gradient,synthetic-gradient,4,1.2,quantize,6377,98.10491581911828
dark-gradient-e4-d1.2,dark-gradient,synthetic-gradient,4,1.2,smooth,5407,97.62837701981913
dark-gradient-e4-d3,dark-gradient,synthetic-gradient,4,3.0,both,5654,97.44615967099483
dark-gradient-e4-d3,dark-gradient,synthetic-gradient,4,3.0,default,5819,91.75989911449147
dark-gradient-e4-d3,dark-gradient,synthetic-gradient,4,3.0,quantize,6247,95.64027689620843
dark-gradient-e4-d3,dark-gradient,synthetic-gradient,4,3.0,smooth,5506,94.30999145076882
dark-gradient-e4-d6,dark-gradient,synthetic-gradient,4,6.0,both,5738,94.9647538566127
dark-gradient-e4-d6,dark-gradient,synthetic-gradient,4,6.0,default,4337,85.94634257029887
dark-gradient-e4-d6,dark-gradient,synthetic-gradient,4,6.0,quantize,5920,92.58844616242207
dark-gradient-e4-d6,dark-gradient,synthetic-gradient,4,6.0,smooth,4351,89.8765987432745
dark-gradient-e7-d1.2,dark-gradient,synthetic-gradient,7,1.2,both,2604,98.92292244449185
dark-gradient-e7-d1.2,dark-gradient,synthetic-gradient,7,1.2,default,1564,95.46176684130441
dark-gradient-e7-d1.2,dark-gradient,synthetic-gradient,7,1.2,quantize,2623,97.77407811750365
dark-gradient-e7-d1.2,dark-gradient,synthetic-gradient,7,1.2,smooth,1493,97.52739669101108
dark-gradient-e7-d3,dark-gradient,synthetic-gradient,7,3.0,both,1518,97.38236817748201
dark-gradient-e7-d3,dark-gradient,synthetic-gradient,7,3.0,default,1262,91.06973658845087
dark-gradient-e7-d3,dark-gradient,synthetic-gradient,7,3.0,quantize,1536,95.18967355863741
dark-gradient-e7-d3,dark-gradient,synthetic-gradient,7,3.0,smooth,1099,94.0171312468149
dark-gradient-e7-d6,dark-gradient,synthetic-gradient,7,6.0,both,1195,94.76984433146025
dark-gradient-e7-d6,dark-gradient,synthetic-gradient,7,6.0,default,940,84.92971006241083
dark-gradient-e7-d6,dark-gradient,synthetic-gradient,7,6.0,quantize,1227,91.81834395827343
dark-gradient-e7-d6,dark-gradient,synthetic-gradient,7,6.0,smooth,904,89.47213908529972
sky-gradient-e3-d1.2,sky-gradient,synthetic-gradient,3,1.2,both,6031,92.80462745743064
sky-gradient-e3-d1.2,sky-gradient,synthetic-gradient,3,1.2,default,4983,90.06148152054539
sky-gradient-e3-d1.2,sky-gradient,synthetic-gradient,3,1.2,quantize,6032,92.06547540786612
sky-gradient-e3-d1.2,sky-gradient,synthetic-gradient,3,1.2,smooth,4982,92.32876830079383
sky-gradient-e3-d3,sky-gradient,synthetic-gradient,3,3.0,both,3344,91.70090988654066
sky-gradient-e3-d3,sky-gradient,synthetic-gradient,3,3.0,default,2664,81.2657412723463
sky-gradient-e3-d3,sky-gradient,synthetic-gradient,3,3.0,quantize,3345,89.79269607668606
sky-gradient-e3-d3,sky-gradient,synthetic-gradient,3,3.0,smooth,2663,85.85126141211485
sky-gradient-e3-d6,sky-gradient,synthetic-gradient,3,6.0,both,2233,88.5706625019142
sky-gradient-e3-d6,sky-gradient,synthetic-gradient,3,6.0,default,1631,69.85675568040266
sky-gradient-e3-d6,sky-gradient,synthetic-gradient,3,6.0,quantize,2234,84.93360650256024
sky-gradient-e3-d6,sky-gradient,synthetic-gradient,3,6.0,smooth,1630,76.09794416175524
sky-gradient-e4-d1.2,sky-gradient,synthetic-gradient,4,1.2,both,8849,92.76311491929597
sky-gradient-e4-d1.2,sky-gradient,synthetic-gradient,4,1.2,default,7425,90.32851279216123
sky-gradient-e4-d1.2,sky-gradient,synthetic-gradient,4,1.2,quantize,7971,92.045651522637
sky-gradient-e4-d1.2,sky-gradient,synthetic-gradient,4,1.2,smooth,7314,92.34230714508807
sky-gradient-e4-d3,sky-gradient,synthetic-gradient,4,3.0,both,5403,91.62726711809322
sky-gradient-e4-d3,sky-gradient,synthetic-gradient,4,3.0,default,5074,81.22731207407963
sky-gradient-e4-d3,sky-gradient,synthetic-gradient,4,3.0,quantize,5339,90.03738811507229
sky-gradient-e4-d3,sky-gradient,synthetic-gradient,4,3.0,smooth,5290,86.31104628813632
sky-gradient-e4-d6,sky-gradient,synthetic-gradient,4,6.0,both,4363,88.48476212765954
sky-gradient-e4-d6,sky-gradient,synthetic-gradient,4,6.0,default,3636,68.9199230294739
sky-gradient-e4-d6,sky-gradient,synthetic-gradient,4,6.0,quantize,4390,84.57840725729318
sky-gradient-e4-d6,sky-gradient,synthetic-gradient,4,6.0,smooth,3885,76.2339501781926
sky-gradient-e7-d1.2,sky-gradient,synthetic-gradient,7,1.2,both,6287,92.83754256613021
sky-gradient-e7-d1.2,sky-gradient,synthetic-gradient,7,1.2,default,5056,89.48625702139691
sky-gradient-e7-d1.2,sky-gradient,synthetic-gradient,7,1.2,quantize,6251,91.87879226494833
sky-gradient-e7-d1.2,sky-gradient,synthetic-gradient,7,1.2,smooth,5282,92.28291217022671
sky-gradient-e7-d3,sky-gradient,synthetic-gradient,7,3.0,both,3533,91.61563728299559
sky-gradient-e7-d3,sky-gradient,synthetic-gradient,7,3.0,default,2926,80.99253094687496
sky-gradient-e7-d3,sky-gradient,synthetic-gradient,7,3.0,quantize,3498,89.3585959209734
sky-gradient-e7-d3,sky-gradient,synthetic-gradient,7,3.0,smooth,2832,85.68682417192872
sky-gradient-e7-d6,sky-gradient,synthetic-gradient,7,6.0,both,2403,88.41459334969512
sky-gradient-e7-d6,sky-gradient,synthetic-gradient,7,6.0,default,1802,68.08183466178572
sky-gradient-e7-d6,sky-gradient,synthetic-gradient,7,6.0,quantize,2327,84.13395836798537
sky-gradient-e7-d6,sky-gradient,synthetic-gradient,7,6.0,smooth,1872,75.43011390712553
chroma-gradient-e3-d1.2,chroma-gradient,synthetic-gradient,3,1.2,both,1427,93.94675769195291
chroma-gradient-e3-d1.2,chroma-gradient,synthetic-gradient,3,1.2,default,1026,92.09014794018239
chroma-gradient-e3-d1.2,chroma-gradient,synthetic-gradient,3,1.2,quantize,1428,93.47566162734107
chroma-gradient-e3-d1.2,chroma-gradient,synthetic-gradient,3,1.2,smooth,1025,92.7798448512968
chroma-gradient-e3-d3,chroma-gradient,synthetic-gradient,3,3.0,both,847,93.22293424118867
chroma-gradient-e3-d3,chroma-gradient,synthetic-gradient,3,3.0,default,626,89.41828913072735
chroma-gradient-e3-d3,chroma-gradient,synthetic-gradient,3,3.0,quantize,848,92.5431068569978
chroma-gradient-e3-d3,chroma-gradient,synthetic-gradient,3,3.0,smooth,625,90.74673930468327
chroma-gradient-e3-d6,chroma-gradient,synthetic-gradient,3,6.0,both,708,90.97231417352556
chroma-gradient-e3-d6,chroma-gradient,synthetic-gradient,3,6.0,default,488,87.4333941803289
chroma-gradient-e3-d6,chroma-gradient,synthetic-gradient,3,6.0,quantize,709,89.81521961656367
chroma-gradient-e3-d6,chroma-gradient,synthetic-gradient,3,6.0,smooth,487,89.0068900185513
chroma-gradient-e4-d1.2,chroma-gradient,synthetic-gradient,4,1.2,both,4517,93.86735269509441
chroma-gradient-e4-d1.2,chroma-gradient,synthetic-gradient,4,1.2,default,3988,91.84300215648257
chroma-gradient-e4-d1.2,chroma-gradient,synthetic-gradient,4,1.2,quantize,4616,93.43585276807342
chroma-gradient-e4-d1.2,chroma-gradient,synthetic-gradient,4,1.2,smooth,3958,92.62735060005112
chroma-gradient-e4-d3,chroma-gradient,synthetic-gradient,4,3.0,both,2723,92.68974061112498
chroma-gradient-e4-d3,chroma-gradient,synthetic-gradient,4,3.0,default,2611,89.46455169306805
