case,kind,effort,distance,mode,srgb_rmse,block_error_roughness,red_green_error_roughness
alpine_lake-visual-e4-d3,photographic,4,3.0,quantize,0.022655518725514412,0.008551578037440777,0.013374634087085724
alpine_lake-visual-e4-d3,photographic,4,3.0,smooth,0.022883817553520203,0.01000240258872509,0.015484404750168324
alpine_lake-visual-e4-d6,photographic,4,6.0,both,0.02978217601776123,0.011616620235145092,0.017086967825889587
alpine_lake-visual-e4-d6,photographic,4,6.0,both-matched-size,0.03076249547302723,0.01209527812898159,0.017594171687960625
alpine_lake-visual-e4-d6,photographic,4,6.0,default,0.030690405517816544,0.017536554485559464,0.027195991948246956
alpine_lake-visual-e4-d6,photographic,4,6.0,quantize,0.02983882464468479,0.012478436343371868,0.018993668258190155
alpine_lake-visual-e4-d6,photographic,4,6.0,smooth,0.03036189265549183,0.014918784610927105,0.02227194420993328
alpine_lake-visual-e7-d1.2,photographic,7,1.2,both,0.014815866015851498,0.005520261358469725,0.008822612464427948
alpine_lake-visual-e7-d1.2,photographic,7,1.2,default,0.014976823702454567,0.006657016929239035,0.010816690512001514
alpine_lake-visual-e7-d1.2,photographic,7,1.2,quantize,0.014766878448426723,0.005513347219675779,0.008861486800014973
alpine_lake-visual-e7-d1.2,photographic,7,1.2,smooth,0.014898529276251793,0.00620925473049283,0.009967952966690063
alpine_lake-visual-e7-d3,photographic,7,3.0,both,0.023250412195920944,0.010246533900499344,0.01594344526529312
alpine_lake-visual-e7-d3,photographic,7,3.0,both-matched-size,0.02386193722486496,0.010498402640223503,0.016218267381191254
alpine_lake-visual-e7-d3,photographic,7,3.0,default,0.023949962109327316,0.013306048698723316,0.021049391478300095
alpine_lake-visual-e7-d3,photographic,7,3.0,quantize,0.023303527384996414,0.010489619337022305,0.016492238268256187
alpine_lake-visual-e7-d3,photographic,7,3.0,smooth,0.023576056584715843,0.011792038567364216,0.01838323287665844
alpine_lake-visual-e7-d6,photographic,7,6.0,both,0.029632514342665672,0.013826292008161545,0.01985934004187584
alpine_lake-visual-e7-d6,photographic,7,6.0,both-matched-size,0.03050476871430874,0.014572415500879288,0.020571351051330566
alpine_lake-visual-e7-d6,photographic,7,6.0,default,0.03089652769267559,0.019789213314652443,0.029927119612693787
alpine_lake-visual-e7-d6,photographic,7,6.0,quantize,0.029655715450644493,0.014571898616850376,0.021404780447483063
alpine_lake-visual-e7-d6,photographic,7,6.0,smooth,0.03029203787446022,0.01713833399116993,0.025162378326058388
campus_interior-visual-e3-d1.2,photographic,3,1.2,both,0.007220258004963398,0.0022816481068730354,0.0018213745206594467
campus_interior-visual-e3-d1.2,photographic,3,1.2,default,0.0073010278865695,0.0031326892785727978,0.003263849066570401
campus_interior-visual-e3-d1.2,photographic,3,1.2,quantize,0.007217539940029383,0.0022478001192212105,0.0017789043486118317
campus_interior-visual-e3-d1.2,photographic,3,1.2,smooth,0.007300808094441891,0.0031244438141584396,0.0032421553041785955
campus_interior-visual-e3-d3,photographic,3,3.0,both,0.013698896393179893,0.004454366862773895,0.003393337829038501
campus_interior-visual-e3-d3,photographic,3,3.0,default,0.014067605137825012,0.007809162139892578,0.005796926561743021
campus_interior-visual-e3-d3,photographic,3,3.0,quantize,0.01369225699454546,0.004385701846331358,0.0034017274156212807
campus_interior-visual-e3-d3,photographic,3,3.0,smooth,0.01404143963009119,0.007552341092377901,0.005604635924100876
campus_interior-visual-e3-d6,photographic,3,6.0,both,0.021663960069417953,0.007555809803307056,0.004515310749411583
campus_interior-visual-e3-d6,photographic,3,6.0,default,0.022076541557908058,0.010323912836611271,0.005135210230946541
campus_interior-visual-e3-d6,photographic,3,6.0,quantize,0.021661045029759407,0.007553202100098133,0.004730298183858395
campus_interior-visual-e3-d6,photographic,3,6.0,smooth,0.02205159328877926,0.010039567947387695,0.0049817743711173534
campus_interior-visual-e4-d1.2,photographic,4,1.2,both,0.007631294894963503,0.002361802849918604,0.0018428065814077854
campus_interior-visual-e4-d1.2,photographic,4,1.2,default,0.007714519277215004,0.0032835945021361113,0.003419584594666958
campus_interior-visual-e4-d1.2,photographic,4,1.2,quantize,0.007630838081240654,0.0023443952668458223,0.0017983110155910254
campus_interior-visual-e4-d1.2,photographic,4,1.2,smooth,0.007714416831731796,0.0032764608040452003,0.0033935587853193283
campus_interior-visual-e4-d3,photographic,4,3.0,both,0.014840329065918922,0.004439756274223328,0.0033421835396438837
campus_interior-visual-e4-d3,photographic,4,3.0,both-matched-size,0.015038564801216125,0.004541150294244289,0.0033762864768505096
campus_interior-visual-e4-d3,photographic,4,3.0,default,0.01513592153787613,0.00771891325712204,0.00602683937177062
campus_interior-visual-e4-d3,photographic,4,3.0,quantize,0.014840536750853062,0.00436496501788497,0.003355736844241619
campus_interior-visual-e4-d3,photographic,4,3.0,smooth,0.01510935090482235,0.007495290599763393,0.005842350423336029
campus_interior-visual-e4-d6,photographic,4,6.0,both,0.023624952882528305,0.007687436416745186,0.0044787172228097916
campus_interior-visual-e4-d6,photographic,4,6.0,both-matched-size,0.024558113887906075,0.00825344119220972,0.004494120366871357
campus_interior-visual-e4-d6,photographic,4,6.0,default,0.023976420983672142,0.010374907404184341,0.005083335097879171
campus_interior-visual-e4-d6,photographic,4,6.0,quantize,0.023643873631954193,0.0077551561407744884,0.004700648598372936
campus_interior-visual-e4-d6,photographic,4,6.0,smooth,0.02399788610637188,0.010407093912363052,0.005015113856643438
campus_interior-visual-e7-d1.2,photographic,7,1.2,both,0.007777730468660593,0.0025443818885833025,0.0019754318054765463
campus_interior-visual-e7-d1.2,photographic,7,1.2,default,0.007870825938880444,0.0034768639598041773,0.0035853954032063484
