stratum,effort,reference,variant,images,pchip_median_percent,linear_median_percent,maximum_absolute_difference_pp
kodak,4,default,both,6,0.43297104663004526,0.5005056279527789,0.09781666493134805
kodak,4,default,quantize,6,0.11735064721560715,0.18170165629592158,0.10164416757617001
kodak,4,default,smooth,6,-0.07290388379196783,-0.07498226203451824,0.1202598200663373
kodak,4,default,weighted,6,-0.31395016648070995,-0.31224752923090715,0.006703132173560888
kodak,4,weighted,both,6,0.7391818308953861,0.772697837197626,0.0958126892484531
kodak,4,weighted,default,6,0.3149389185476207,0.313225568346291,0.006896311859788673
kodak,4,weighted,quantize,6,0.053546609739554746,0.11738457240706854,0.10200236395512796
kodak,4,weighted,smooth,6,0.11150825556695881,0.10111894070111828,0.11837568461500614
kodak,7,default,both,6,-0.332691341053522,-0.1837406266424028,0.2236991496777847
kodak,7,default,quantize,6,-0.5480167525511015,-0.501230067917724,0.1592377466286823
kodak,7,default,smooth,6,-0.23539862188448946,-0.1760691257857607,0.08151302031110488
kodak,7,default,weighted,6,-0.3261221871499232,-0.32913691726807626,0.008849533736930981
kodak,7,weighted,both,6,0.11847802555727649,0.2595060832817375,0.2272994157877195
kodak,7,weighted,default,6,0.3271964067635822,0.3302308682322548,0.009124246090428167
kodak,7,weighted,quantize,6,-0.18391595350307766,-0.15235975782962527,0.1617177107529072
kodak,7,weighted,smooth,6,0.03332181912577632,0.026987799304213873,0.08165187521816883
photo_4k,3,default,both,2,-0.793703974615918,-0.8378462856141128,0.0679408996169768
photo_4k,3,default,quantize,2,-1.6991145734829431,-1.754440144829216,0.06508053100049338
photo_4k,3,default,smooth,2,-0.7872146366335885,-0.8017650784343612,0.04549135977475083
photo_4k,3,default,weighted,2,-1.0642145994142715,-1.0648262978469032,0.006022685630287183
photo_4k,3,weighted,both,2,0.27231474213133694,0.22823010252421214,0.06282411535166664
photo_4k,3,weighted,default,2,1.0770714094507357,1.0777379582552569,0.006199540383986513
photo_4k,3,weighted,quantize,2,-0.6451094343298398,-0.7004832655702777,0.06001524408794512
photo_4k,3,weighted,smooth,2,0.2801524240363443,0.2659700071366018,0.04002525081972019
photo_4k,4,default,both,2,-0.9937433473035403,-1.0427238620615022,0.06564891390305096
photo_4k,4,default,quantize,2,-1.8015684003193273,-1.858685377636273,0.08461188216247181
photo_4k,4,default,smooth,2,-1.1425125684974604,-1.1534615797208971,0.04304842422514765
photo_4k,4,default,weighted,2,-1.1027524955562362,-1.1018728246668363,0.005095537624380642
photo_4k,4,weighted,both,2,0.10761510920176215,0.057250272016443116,0.07129774988798987
photo_4k,4,weighted,default,2,1.1165266334724833,1.1156603461421155,0.0051699335681612
photo_4k,4,weighted,quantize,2,-0.7114264975053102,-0.7699937141031407,0.09038577555113653
photo_4k,4,weighted,smooth,2,-0.0412549866150238,-0.05308504339033569,0.048504899789707095
photo_4k,7,default,both,2,-1.0670462784031356,-1.085705933254534,0.04572855779412288
photo_4k,7,default,quantize,2,-2.4077006427606475,-2.4525454707412573,0.05481972061484974
photo_4k,7,default,smooth,2,-0.8442268605193379,-0.8523316576569229,0.011110030204884103
photo_4k,7,default,weighted,2,-1.1646498089995787,-1.1654008443009025,0.0046838027433955265
photo_4k,7,weighted,both,2,0.0963146027876225,0.07831348449605433,0.04928752893326016
photo_4k,7,weighted,default,2,1.1803594165161218,1.1811641402347954,0.0048378353257720885
photo_4k,7,weighted,quantize,2,-1.263973621223114,-1.3085915768949967,0.05842911224448871
photo_4k,7,weighted,smooth,2,0.32518184057435984,0.31775678079455205,0.00834496796959533
