image,stratum,effort,reference,variant,quality_low,quality_high,pchip_percent,linear_percent,difference_percentage_points
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,7,weighted,smooth,66.42196143703616,88.07870336241969,0.0139957190765124,0.013475625493278699,-0.0005200935832337019
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,7,weighted,both,66.42196143703616,88.07870336241969,1.0307044920995,1.030104332326751,-0.000600159772749187
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,3,default,weighted,60.52162303119531,87.61131961529367,-0.41034421641725016,-0.4099051289798622,0.00043908743738796385
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,3,default,quantize,60.52162303119531,87.61131961529367,0.7578074121772679,0.7253624191512166,-0.032444993026051305
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,3,default,smooth,60.52162303119531,87.61131961529367,-0.15751464597040074,-0.16036236099406842,-0.0028477150236676796
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,3,default,both,60.52162303119531,87.61131961529367,1.1022723736421494,1.0802514236081762,-0.022020950033973197
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,3,weighted,default,60.52162303119531,87.61131961529367,0.41203497811957995,0.4115922667919268,-0.0004427113276531669
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,3,weighted,quantize,60.52162303119531,87.61131961529367,1.172964821901801,1.1399402215665846,-0.03302460033521637
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,3,weighted,smooth,60.52162303119531,87.61131961529367,0.25387131671212,0.2505698667211619,-0.003301449990958105
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,3,weighted,both,60.52162303119531,87.61131961529367,1.518849099495284,1.4962899217215841,-0.022559177773699757
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,4,default,weighted,61.455077700208186,88.37979168381824,-0.4002105065288524,-0.4001343074696545,7.619905919792336e-05
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,4,default,quantize,61.455077700208186,88.37979168381824,0.6885331651603177,0.6777836975027365,-0.010749467657581224
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,4,default,smooth,61.455077700208186,88.37979168381824,-0.14108141573141622,-0.15282426022697398,-0.011742844495557764
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,4,default,both,61.455077700208186,88.37979168381824,0.956796587381651,0.9682637695191686,0.011467182137517629
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,4,weighted,default,61.455077700208186,88.37979168381824,0.40181862689085956,0.4017418142961042,-7.681259475533775e-05
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,4,weighted,quantize,61.455077700208186,88.37979168381824,1.0931184465611126,1.0822484523221916,-0.010869994238920988
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,4,weighted,smooth,61.455077700208186,88.37979168381824,0.2601703197519532,0.24830359511340983,-0.01186672463854338
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,4,weighted,both,61.455077700208186,88.37979168381824,1.362459801182066,1.373895504250111,0.011435703068044978
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,7,default,weighted,62.769670390118655,88.64792854713802,-0.41373293616269247,-0.4141979319977763,-0.000464995835083859
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,7,default,quantize,62.769670390118655,88.64792854713802,0.4448781284543334,0.43333365698765924,-0.011544471466674144
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,7,default,smooth,62.769670390118655,88.64792854713802,0.028008053073095503,0.0027047201291281325,-0.02530333294396737
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,7,default,both,62.769670390118655,88.64792854713802,0.9873156816113069,0.981567637835613,-0.005748043775693934
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,7,weighted,default,62.769670390118655,88.64792854713802,0.4154517970810968,0.4159206667984068,0.00046886971730997207
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,7,weighted,quantize,62.769670390118655,88.64792854713802,0.8621781797149144,0.851056648021671,-0.01112153169324337
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,7,weighted,smooth,62.769670390118655,88.64792854713802,0.443576210114012,0.418636636417531,-0.024939573696480977
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,7,weighted,both,62.769670390118655,88.64792854713802,1.4068692994345213,1.401570847298383,-0.005298452136138332
clic2024_test--8bb119b8ca17492392e1e3ea4b811b32,clic2024_test,3,default,weighted,76.10116915117909,90.00556960948751,-0.6568322155043544,-0.6563466657533124,0.0004855497510420914
clic2024_test--8bb119b8ca17492392e1e3ea4b811b32,clic2024_test,3,default,quantize,76.10116915117909,90.00556960948751,-2.5783825952674557,-2.7057880255822306,-0.12740543031477491
clic2024_test--8bb119b8ca17492392e1e3ea4b811b32,clic2024_test,3,default,smooth,76.10116915117909,90.00556960948751,-0.816435823265653,-0.8682844092476808,-0.051848585982027795
clic2024_test--8bb119b8ca17492392e1e3ea4b811b32,clic2024_test,3,default,both,76.10116915117909,90.00556960948751,-1.6424492535425395,-1.6425461638427723,-9.691030023284419e-05
clic2024_test--8bb119b8ca17492392e1e3ea4b811b32,clic2024_test,3,weighted,default,76.10116915117909,90.00556960948751,0.6611750260764943,0.6606830368367884,-0.0004919892397058367
clic2024_test--8bb119b8ca17492392e1e3ea4b811b32,clic2024_test,3,weighted,quantize,76.10116915117909,90.00556960948751,-1.9342551909875727,-2.062981671243225,-0.12872648025565248
clic2024_test--8bb119b8ca17492392e1e3ea4b811b32,clic2024_test,3,weighted,smooth,76.10116915117909,90.00556960948751,-0.16065886695653323,-0.2133379802142903,-0.052679113257757065
clic2024_test--8bb119b8ca17492392e1e3ea4b811b32,clic2024_test,3,weighted,both,76.10116915117909,90.00556960948751,-0.9921336917464484,-0.9927151508827062,-0.0005814591362578447
clic2024_test--8bb119b8ca17492392e1e3ea4b811b32,clic2024_test,4,default,weighted,74.78012349147359,89.77560847009958,-0.7062899834063717,-0.7050015869028058,0.0012883965035659362
clic2024_test--8bb119b8ca17492392e1e3ea4b811b32,clic2024_test,4,default,quantize,74.78012349147359,89.77560847009958,-2.1496200464273434,-2.2034599614965473,-0.053839915069203936
