image,stratum,effort,reference,variant,byte_change_percent,quality_delta_from_target,encode_median_change_percent,encode_q25_change_percent,encode_q75_change_percent,slower_rounds,rounds
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,4,weighted,default,2.9214783505673303,0.0,-2.2202223710362956,-5.962256506325769,-0.6803662830209167,3,20
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,4,weighted,quantize,-0.9233401262988439,0.04929885569885073,20.87810097945928,18.475173637910423,24.49535233821216,20,20
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,4,weighted,smooth,-0.07698694241075055,0.0026361029917438827,0.1594271539804737,-1.5946213303533074,1.8284673435276622,10,20
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,7,default,both,-1.863789381056169,0.02031391663123827,22.46188552136008,21.693616674507776,24.490708111699043,20,20
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,7,default,quantize,-4.105145757231588,0.02008585930698814,22.12889848644537,20.938677510593706,23.571473397131104,20,20
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,7,default,smooth,-3.354616242543307,-0.027600234417690217,2.4841603405986845,0.6095881491123833,3.5807032410248407,16,20
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,7,default,weighted,-3.1387175000767376,0.0,3.489958359860834,1.0114304556576137,5.040577326842355,17,20
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,7,weighted,both,1.316241212294078,0.02031391663123827,19.753470466814882,17.894894572957874,21.435880505538798,20,20
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,7,weighted,default,3.2404252959165936,0.0,-3.3721492114316076,-4.798503474739513,-0.9994852371125074,3,20
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,7,weighted,quantize,-0.9977446428665715,0.02008585930698814,18.192430859380735,16.541691557751935,20.90606287486949,20,20
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,7,weighted,smooth,-0.22289477993101547,-0.027600234417690217,-1.2091629666176495,-1.7118918715001596,0.4377202013877257,6,20
kodak--01,kodak,3,default,both,-0.1920614596670922,-0.04089914300330122,18.430120935925707,13.32473767654465,19.717214645307735,20,20
kodak--01,kodak,3,default,quantize,-0.05252962999441335,0.01843309465341747,17.985464656377935,12.75428115071151,20.98566102842192,19,20
kodak--01,kodak,3,default,smooth,0.3964345513641332,0.02528612921159379,2.4795222927457505,-7.225334928579263,3.5881400952134657,11,20
kodak--01,kodak,3,default,weighted,0.3972553268327905,0.0,-2.157004172410204,-4.497960068785877,1.2108580211612985,7,20
kodak--01,kodak,3,weighted,both,-0.5869849574885566,-0.04089914300330122,17.878787739039392,14.03086853644635,24.474879716562103,20,20
kodak--01,kodak,3,weighted,default,-0.3956834532374054,0.0,2.205452873289948,-1.1963584216006184,4.709815586690058,13,20
kodak--01,kodak,3,weighted,quantize,-0.4480052321778949,0.01843309465341747,17.30517806526666,13.905962354701185,24.021499482495013,20,20
kodak--01,kodak,3,weighted,smooth,-0.0008175277959487914,0.02528612921159379,-0.8078880038986269,-4.7676440411677845,6.509406612182134,9,20
kodak--01,kodak,4,default,both,0.8124905767845414,-0.026861133561951078,23.400626451591265,19.442302586588546,26.8337972431709,19,20
kodak--01,kodak,4,default,quantize,0.8250548640544197,-0.02201354808764222,22.385815891167482,18.846872282876248,29.541999962598474,19,20
kodak--01,kodak,4,default,smooth,0.2965171795688004,0.02768067580845468,1.481150147276722,-3.1928495556862946,5.979035676780642,11,20
kodak--01,kodak,4,default,weighted,0.38865528621445655,0.0,0.978466338025763,-3.18335394586009,4.945885433804498,13,20
kodak--01,kodak,4,weighted,both,0.42219440967876665,-0.026861133561951078,22.714782627419638,20.892283282664792,25.31314625396528,19,20
kodak--01,kodak,4,weighted,default,-0.3871506049228257,0.0,-0.9688185430977381,-4.711030842292574,3.288608262410375,7,20
kodak--01,kodak,4,weighted,quantize,0.4347100542344551,-0.02201354808764222,22.671939303060483,19.187596716280076,26.576699353118862,20,20
kodak--01,kodak,4,weighted,smooth,-0.09178139340842995,0.02768067580845468,0.17284083276005724,-1.809332558436405,2.9414358890881065,11,20
kodak--01,kodak,7,default,both,1.2880887593405443,0.04100241935363158,21.82560578933499,19.286462067503663,24.134713472167046,20,20
kodak--01,kodak,7,default,quantize,1.1010673698221618,-0.041167894271296746,21.02066582815163,19.573134713649054,22.488143796020445,20,20
kodak--01,kodak,7,default,smooth,0.4296437326773539,-0.002315608802646807,2.340664707555984,-0.3059117133596523,3.2913678091042398,13,20
kodak--01,kodak,7,default,weighted,0.39004911417570565,0.0,0.8747487059427961,-0.9031342799325492,2.5428196213423515,13,20
kodak--01,kodak,7,weighted,both,0.8945504590235576,0.04100241935363158,20.62878255790892,19.060147546609095,21.989335017073984,20,20
kodak--01,kodak,7,weighted,default,-0.3885336421462493,0.0,-0.8660155112054646,-2.4710671135500073,0.9117734243127451,7,20
kodak--01,kodak,7,weighted,quantize,0.708255710521466,-0.041167894271296746,19.83344271417007,16.88777916154658,21.2261146190734,20,20
kodak--01,kodak,7,weighted,smooth,0.039440780088284555,-0.002315608802646807,0.7303686735600223,-0.33205985204673993,2.3033924396159255,13,20
imazen26-1029-planter-4k,photo_4k,3,default,both,0.04690309299841822,-0.027221089032948953,14.039739226050308,12.201549295646918,16.352801608785228,19,20
imazen26-1029-planter-4k,photo_4k,3,default,quantize,-0.3651862860140409,0.019081677904424055,12.431708459670388,10.39559967759045,19.026165950781284,20,20
imazen26-1029-planter-4k,photo_4k,3,default,smooth,-0.6065791626388206,-0.02123474239765244,4.86851552535712,-6.5941181284168815,9.537258090856792,12,20
imazen26-1029-planter-4k,photo_4k,3,default,weighted,-0.6065364457963796,0.0,-0.33615538164104564,-7.075086606072256,10.404862794679026,10,20
imazen26-1029-planter-4k,photo_4k,3,weighted,both,0.6574270736007248,-0.027221089032948953,11.42238288022972,6.856829607326054,21.78005504449907,19,20
imazen26-1029-planter-4k,photo_4k,3,weighted,default,0.610237760218113,0.0,0.36513936930571145,-9.424177447104743,7.61562264552007,10,20
imazen26-1029-planter-4k,photo_4k,3,weighted,quantize,0.2428229695916828,0.019081677904424055,14.624048381641042,8.800292251059494,21.372667784898614,18,20
imazen26-1029-planter-4k,photo_4k,3,weighted,smooth,-4.297751674542383e-05,-0.02123474239765244,0.9579178310672454,-5.857459323034053,14.314890158145799,11,20
imazen26-1029-planter-4k,photo_4k,4,default,both,-0.41669635062141497,-0.007599382515721231,12.958047110790938,9.555890424282554,19.295782618793723,19,20
imazen26-1029-planter-4k,photo_4k,4,default,quantize,-0.6500232972951658,0.03016919484407765,13.639367548733361,12.191603358948155,17.51512132281561,18,20
