image,stratum,effort,variant,distance,bytes,quality
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,3,default,2,730373,68.25871437610753
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,3,quantize,2,741734,68.28398593273505
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,3,smooth,2,730697,68.25308130765094
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,3,weighted,2,730698,68.25871437610753
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,4,both,0.5,1692058,88.03943484117927
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,4,default,0.5,1678272,87.98124846000424
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,4,quantize,0.5,1692059,88.0351643682834
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,4,smooth,0.5,1677450,87.98152565608058
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,4,weighted,0.5,1677451,87.98124846000424
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,4,both,0.699999988079,1410690,84.67791199202728
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,4,default,0.699999988079,1397790,84.65035374732106
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,4,quantize,0.699999988079,1410689,84.67647962582637
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,4,smooth,0.699999988079,1397229,84.65420925261016
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,4,weighted,0.699999988079,1397230,84.65035374732106
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,4,both,1,1150391,80.17795229173261
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,4,default,1,1138023,80.16757198701538
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,4,quantize,1,1150392,80.18166561065482
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,4,smooth,1,1137870,80.16304522081137
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,4,weighted,1,1137877,80.16757198701538
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,4,both,1.39999997616,921385,74.40636167829871
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,4,default,1.39999997616,909535,74.34720263422403
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,4,quantize,1.39999997616,921386,74.40541898521718
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,4,smooth,1.39999997616,909656,74.34755529628798
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,4,weighted,1.39999997616,909649,74.34720263422403
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,4,both,2,707066,66.95503280079889
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,4,default,2,695922,66.89418658089077
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,4,quantize,2,707064,66.95740321622321
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,4,smooth,2,696274,66.88619466514238
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,4,weighted,2,696267,66.89418658089077
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,7,both,0.5,1699867,88.08869628063432
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,7,default,0.5,1686090,88.07870336241969
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,7,quantize,0.5,1699868,88.08911565015364
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,7,smooth,0.5,1685232,88.07870336241969
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,7,weighted,0.5,1685233,88.07870336241969
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,7,both,0.699999988079,1411127,84.71563050488331
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,7,default,0.699999988079,1398778,84.70254328552265
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,7,quantize,0.699999988079,1411147,84.71496702639438
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,7,smooth,0.699999988079,1398229,84.69831432355929
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,7,weighted,0.699999988079,1398230,84.70254328552265
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,7,both,1,1145345,80.00809053387313
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,7,default,1,1133077,80.01359566127365
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,7,quantize,1,1145344,80.01191410233702
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,7,smooth,1,1132898,80.00737203932557
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,7,weighted,1,1132897,80.01359566127365
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,7,both,1.39999997616,914751,74.29035347980896
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,7,default,1.39999997616,902697,74.21937613147112
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,7,quantize,1.39999997616,914739,74.29221582058861
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,7,smooth,1.39999997616,902785,74.21637997884964
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,7,weighted,1.39999997616,902788,74.21937613147112
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,7,both,2,697590,66.4133116815502
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,7,default,2,686377,66.28019036564969
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,7,quantize,2,697577,66.42196143703616
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,7,smooth,2,686693,66.2802290209606
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,7,weighted,2,686694,66.28019036564969
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,3,both,0.5,1240895,87.64474464662398
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,3,default,0.5,1230879,87.63475058719668
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,3,quantize,0.5,1240896,87.67740734501142
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,3,smooth,0.5,1228445,87.61131961529367
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,3,weighted,0.5,1228446,87.63475058719668
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,3,both,0.699999988079,1018688,84.10504641754449
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,3,default,0.699999988079,1009303,84.13537962603999
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,3,quantize,0.699999988079,1018689,84.1613434900167
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,3,smooth,0.699999988079,1006559,84.11495315985458
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,3,weighted,0.699999988079,1006560,84.13537962603999
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,3,both,1,794251,78.54487830032521
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,3,default,1,786179,78.46073024140455
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,3,quantize,1,794252,78.58840248922246
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,3,smooth,1,783497,78.4196881986768
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,3,weighted,1,783498,78.46073024140455
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,3,both,1.39999997616,599141,70.82748744593039
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,3,default,1.39999997616,591147,70.7988047245047
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,3,quantize,1.39999997616,599142,70.92169526777518
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,3,smooth,1.39999997616,588442,70.70698471772873
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,3,weighted,1.39999997616,588443,70.7988047245047
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,3,both,2,416410,60.31034446566659
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,3,default,2,408987,60.19521749324115
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,3,quantize,2,416411,60.52162303119531
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,3,smooth,2,406469,60.0799863927344
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,3,weighted,2,406470,60.19521749324115
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,4,both,0.5,1300930,88.44485690198806
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,4,default,0.5,1291521,88.37979168381824
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,4,quantize,0.5,1300944,88.47421663899468
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,4,smooth,0.5,1289259,88.40911837338403
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,4,weighted,0.5,1289227,88.37979168381824
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,4,both,0.699999988079,1057231,85.0729159577493
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,4,default,0.699999988079,1048206,85.02643143809946
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,4,quantize,0.699999988079,1057061,85.08819510755742
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,4,smooth,0.699999988079,1045480,84.96676940278297
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,4,weighted,0.699999988079,1045427,85.02643143809946
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,4,both,1,820046,79.52784175662903
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,4,default,1,812265,79.50554483878642
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,4,quantize,1,820020,79.58019556816922
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,4,smooth,1,809537,79.48828203287951
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,4,weighted,1,809565,79.50554483878642
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,4,both,1.39999997616,613374,71.88794817305727
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,4,default,1.39999997616,605160,71.7937311950878
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,4,quantize,1.39999997616,613229,71.94135165167057
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,4,smooth,1.39999997616,602482,71.70937036960142
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,4,weighted,1.39999997616,602489,71.7937311950878
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,4,both,2,417560,61.271942056233975
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,4,default,2,410123,61.20328144684967
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,4,quantize,2,417463,61.455077700208186
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,4,smooth,2,407743,61.08910378359472
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,4,weighted,2,407636,61.20328144684967
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,7,both,0.5,1324102,88.67137070972481
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,7,default,0.5,1314039,88.64792854713802
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,7,quantize,0.5,1323920,88.73339393293817
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,7,smooth,0.5,1311481,88.6615889691893
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,7,weighted,0.5,1311367,88.64792854713802
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,7,both,0.699999988079,1074112,85.50756944309835
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,7,default,0.699999988079,1064673,85.41754507498695
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,7,quantize,0.699999988079,1074149,85.50433542146496
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,7,smooth,0.699999988079,1062052,85.41904007326707
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,7,weighted,0.699999988079,1061893,85.41754507498695
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,7,both,1,830519,80.27844134159143
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,7,default,1,822456,80.13649782574947
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,7,quantize,1,830005,80.2817984641195
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,7,smooth,1,819879,80.1052043279219
