effort,images,maximum_percent,median_percent,minimum_percent,reference,stratum,variant
4,6,0.3511901771475291,-0.07290388379196783,-1.5199685336552002,default,kodak,smooth
4,6,0.44270018597006566,-0.31395016648070995,-1.4139011998000228,default,kodak,weighted
4,6,1.2550640004833842,0.7391818308953861,0.12036417867427777,weighted,kodak,both
4,6,1.4341790749479932,0.3149389185476207,-0.44074898937444384,weighted,kodak,default
4,6,0.8907908182064179,0.053546609739554746,-0.3186949571326246,weighted,kodak,quantize
4,6,0.4476722721452874,0.11150825556695881,-0.10758852936268379,weighted,kodak,smooth
7,6,0.46449953417391804,-0.332691341053522,-1.0207136406083461,default,kodak,both
7,6,0.6757777259668041,-0.5480167525511015,-1.8028015188419348,default,kodak,quantize
7,6,0.4677045007723094,-0.23539862188448946,-1.4794032833578188,default,kodak,smooth
7,6,0.4435256455811042,-0.3261221871499232,-1.521327179762627,default,kodak,weighted
7,6,0.7234543478775031,0.11847802555727649,-0.2203206092426612,weighted,kodak,both
7,6,1.5448290845060964,0.3271964067635822,-0.44156718188696575,weighted,kodak,default
7,6,0.9352771251214593,-0.18391595350307766,-0.6015232772685337,weighted,kodak,quantize
7,6,0.37697118344459507,0.03332181912577632,-0.4733006997634813,weighted,kodak,smooth
3,2,-0.1303116785039512,-0.793703974615918,-1.4570962707278847,default,photo_4k,both
3,2,-0.43651837760837275,-1.6991145734829431,-2.9617107693575138,default,photo_4k,quantize
3,2,-0.4625346454593977,-0.7872146366335885,-1.1118946278077793,default,photo_4k,smooth
3,2,-0.6947666763963088,-1.0642145994142715,-1.4336625224322341,default,photo_4k,weighted
3,2,0.568404080027667,0.27231474213133694,-0.02377459576499304,weighted,photo_4k,both
3,2,1.4545153640902144,1.0770714094507357,0.6996274548112571,weighted,photo_4k,default
3,2,0.2600550747878395,-0.6451094343298398,-1.550273943447519,weighted,photo_4k,quantize
3,2,0.32644805808847716,0.2801524240363443,0.2338567899842115,weighted,photo_4k,smooth
4,2,0.059805180343440296,-0.9937433473035403,-2.047291874950521,default,photo_4k,both
4,2,-0.17970453340809597,-1.8015684003193273,-3.4234322672305586,default,photo_4k,quantize
4,2,-0.49255157893699686,-1.1425125684974604,-1.792473558057924,default,photo_4k,smooth
4,2,-0.7246607725236048,-1.1027524955562362,-1.4808442185888677,default,photo_4k,weighted
4,2,0.7901921655181097,0.10761510920176215,-0.5749619471145854,weighted,photo_4k,both
4,2,1.5031028299455622,1.1165266334724833,0.7299504369994041,weighted,photo_4k,default
4,2,0.5489341495643879,-0.7114264975053102,-1.9717871445750084,weighted,photo_4k,quantize
4,2,0.2338034756595091,-0.0412549866150238,-0.3163134488895567,weighted,photo_4k,smooth
7,2,-0.08461859544546,-1.0670462784031356,-2.0494739613608113,default,photo_4k,both
7,2,-0.5754182824623162,-2.4077006427606475,-4.2399830030589785,default,photo_4k,quantize
7,2,-0.6242951208243596,-0.8442268605193379,-1.0641586002143164,default,photo_4k,smooth
7,2,-0.7268063841440636,-1.1646498089995787,-1.602493233855094,default,photo_4k,weighted
7,2,0.6468894223183663,0.0963146027876225,-0.45426021674312134,weighted,photo_4k,both
7,2,1.6285912992324465,1.1803594165161218,0.7321275337997971,weighted,photo_4k,default
7,2,0.15249645565705652,-1.263973621223114,-2.680443698103285,weighted,photo_4k,quantize
7,2,0.547101904645006,0.32518184057435984,0.10326177650371376,weighted,photo_4k,smooth
