window,counter_id,counter,covered_ms,mean
gjxl_butteraugli_final_l2_masked_ac_f32,5,Occupancy Manager Target,9.075249,99.93332457186037
gjxl_butteraugli_resident_l2_reduce_w64_simd,5,Occupancy Manager Target,4.076207,99.99289599989918
gjxl_ac_strategy_dct16_candidate_loss_parallel,5,Occupancy Manager Target,7.254378,100.0
all ordinary GPU active,6,L1 Eviction Rate,662.110066,8.073325055176486
gjxl_aq_resident_input_transform,6,L1 Eviction Rate,6.374792,0.0
gjxl_aq_resident_input_statistics,6,L1 Eviction Rate,1.925875,0.0
gjxl_butteraugli_low_medium_p1_device,6,L1 Eviction Rate,15.729545,7.899223422721102
gjxl_butteraugli_convolve_transpose_f32,6,L1 Eviction Rate,9.670374,0.0
gjxl_butteraugli_subsample2x_f32,6,L1 Eviction Rate,2.510083,0.00479397777065228
gjxl_butteraugli_frequency_high_convolve_f32,6,L1 Eviction Rate,9.845999,0.0
gjxl_butteraugli_frequency_suppress_x_f32,6,L1 Eviction Rate,4.082791,0.0
gjxl_butteraugli_frequency_ultra_mask_convolve_f32,6,L1 Eviction Rate,12.272249,0.0
gjxl_butteraugli_fuzzy_erosion_f32,6,L1 Eviction Rate,1.030249,0.006616839741662508
gjxl_convolve_symmetric5_f32,6,L1 Eviction Rate,2.9835,0.23605469301842916
gjxl_aq_initial_cfl,6,L1 Eviction Rate,4.532375,7.628182547673508e-07
gjxl_aq_initial_quant_gradient,6,L1 Eviction Rate,1.95925,3.0043108432444137
gjxl_aq_initial_quant_modulation,6,L1 Eviction Rate,1.103041,0.04344049551860728
gjxl_aq_validate_initial_mask,6,L1 Eviction Rate,1.881417,0.0
gjxl_ac_strategy_dct16x8_candidate_loss_parallel,6,L1 Eviction Rate,3.520834,3.095123662004028
gjxl_ac_strategy_dct8x16_candidate_loss_parallel,6,L1 Eviction Rate,3.679291,3.4895824297789892
gjxl_ac_strategy_dct32x16_candidate_loss_local,6,L1 Eviction Rate,8.398917,0.5486751834299858
gjxl_ac_strategy_dct32_candidate_loss_local,6,L1 Eviction Rate,31.607784,0.08614857287916243
gjxl_dct32_forward_simdgroup_2d_matmul_image,6,L1 Eviction Rate,3.889417,39.24469128021996
gjxl_aq_final_cfl,6,L1 Eviction Rate,2.502625,0.0
gjxl_aq_dc_quantize_simd_wave,6,L1 Eviction Rate,2.990876,0.5038831723822416
gjxl_dct32_inverse_simdgroup_2d_matmul_image,6,L1 Eviction Rate,7.533458,44.19040748195607
gjxl_aq_gaborish_f32,6,L1 Eviction Rate,13.45346,0.6157275357188208
gjxl_aq_epf_pass1_tile32x4_p2,6,L1 Eviction Rate,4.482374,30.48966294560992
gjxl_aq_epf_pass2_linear_tile32x4_p2,6,L1 Eviction Rate,11.198084,42.30928258824428
gjxl_butteraugli_malta_fixed_f32,6,L1 Eviction Rate,2.549708,15.205020094093568
gjxl_butteraugli_final_l2_masked_ac_f32,6,L1 Eviction Rate,9.075249,1.1164250131126632e-05
gjxl_butteraugli_resident_l2_reduce_w64_simd,6,L1 Eviction Rate,4.076207,0.22717649234423326
gjxl_ac_strategy_dct16_candidate_loss_parallel,6,L1 Eviction Rate,7.254378,1.4525498344333063
all ordinary GPU active,7,Instruction Throughput Limiter,662.110066,63.36609211813308
gjxl_aq_resident_input_transform,7,Instruction Throughput Limiter,6.374792,23.58919586962514
gjxl_aq_resident_input_statistics,7,Instruction Throughput Limiter,1.925875,50.21266757152827
gjxl_butteraugli_low_medium_p1_device,7,Instruction Throughput Limiter,15.729545,77.34395123704319
gjxl_butteraugli_convolve_transpose_f32,7,Instruction Throughput Limiter,9.670374,59.751162298848314
gjxl_butteraugli_subsample2x_f32,7,Instruction Throughput Limiter,2.510083,10.154214708207851
gjxl_butteraugli_frequency_high_convolve_f32,7,Instruction Throughput Limiter,9.845999,63.779717576355765
gjxl_butteraugli_frequency_suppress_x_f32,7,Instruction Throughput Limiter,4.082791,33.13404331543622
gjxl_butteraugli_frequency_ultra_mask_convolve_f32,7,Instruction Throughput Limiter,12.272249,32.96638880427668
gjxl_butteraugli_fuzzy_erosion_f32,7,Instruction Throughput Limiter,1.030249,65.86415965208519
gjxl_convolve_symmetric5_f32,7,Instruction Throughput Limiter,2.9835,87.82501713474299
gjxl_aq_initial_cfl,7,Instruction Throughput Limiter,4.532375,11.641306157726977
gjxl_aq_initial_quant_gradient,7,Instruction Throughput Limiter,1.95925,69.2371557901686
gjxl_aq_initial_quant_modulation,7,Instruction Throughput Limiter,1.103041,91.09601039155882
gjxl_aq_validate_initial_mask,7,Instruction Throughput Limiter,1.881417,4.568329999338974
gjxl_ac_strategy_dct16x8_candidate_loss_parallel,7,Instruction Throughput Limiter,3.520834,75.06701067351432
gjxl_ac_strategy_dct8x16_candidate_loss_parallel,7,Instruction Throughput Limiter,3.679291,59.875849814056856
gjxl_ac_strategy_dct32x16_candidate_loss_local,7,Instruction Throughput Limiter,8.398917,71.94611713631849
gjxl_ac_strategy_dct32_candidate_loss_local,7,Instruction Throughput Limiter,31.607784,52.09637828539977
gjxl_dct32_forward_simdgroup_2d_matmul_image,7,Instruction Throughput Limiter,3.889417,84.34229682652841
gjxl_aq_final_cfl,7,Instruction Throughput Limiter,2.502625,82.13527126898836
gjxl_aq_dc_quantize_simd_wave,7,Instruction Throughput Limiter,2.990876,5.561774566394241
gjxl_dct32_inverse_simdgroup_2d_matmul_image,7,Instruction Throughput Limiter,7.533458,85.21945893969819
gjxl_aq_gaborish_f32,7,Instruction Throughput Limiter,13.45346,78.30929846714196
gjxl_aq_epf_pass1_tile32x4_p2,7,Instruction Throughput Limiter,4.482374,85.81660620175775
gjxl_aq_epf_pass2_linear_tile32x4_p2,7,Instruction Throughput Limiter,11.198084,60.97741987976154
gjxl_butteraugli_malta_fixed_f32,7,Instruction Throughput Limiter,2.549708,83.7771572901516
gjxl_butteraugli_final_l2_masked_ac_f32,7,Instruction Throughput Limiter,9.075249,83.35930392112526
gjxl_butteraugli_resident_l2_reduce_w64_simd,7,Instruction Throughput Limiter,4.076207,75.45883334647019
gjxl_ac_strategy_dct16_candidate_loss_parallel,7,Instruction Throughput Limiter,7.254378,66.27293231224482
all ordinary GPU active,8,Instruction Throughput Utilization,662.110066,17.621020406083147
gjxl_aq_resident_input_transform,8,Instruction Throughput Utilization,6.374792,5.148535422954091
gjxl_aq_resident_input_statistics,8,Instruction Throughput Utilization,1.925875,6.443686871126346
gjxl_butteraugli_low_medium_p1_device,8,Instruction Throughput Utilization,15.729545,24.98207468035824
gjxl_butteraugli_convolve_transpose_f32,8,Instruction Throughput Utilization,9.670374,21.062759728152905
gjxl_butteraugli_subsample2x_f32,8,Instruction Throughput Utilization,2.510083,2.912362610012411
gjxl_butteraugli_frequency_high_convolve_f32,8,Instruction Throughput Utilization,9.845999,17.784343744087337
gjxl_butteraugli_frequency_suppress_x_f32,8,Instruction Throughput Utilization,4.082791,5.033173918847947
gjxl_butteraugli_frequency_ultra_mask_convolve_f32,8,Instruction Throughput Utilization,12.272249,8.243687665833143
gjxl_butteraugli_fuzzy_erosion_f32,8,Instruction Throughput Utilization,1.030249,21.36459628457235
gjxl_convolve_symmetric5_f32,8,Instruction Throughput Utilization,2.9835,13.322766174590026
gjxl_aq_initial_cfl,8,Instruction Throughput Utilization,4.532375,1.9608011265348628
gjxl_aq_initial_quant_gradient,8,Instruction Throughput Utilization,1.95925,16.29367841976468
gjxl_aq_initial_quant_modulation,8,Instruction Throughput Utilization,1.103041,11.201575421865805
gjxl_aq_validate_initial_mask,8,Instruction Throughput Utilization,1.881417,1.5642278858466783
gjxl_ac_strategy_dct16x8_candidate_loss_parallel,8,Instruction Throughput Utilization,3.520834,25.10216939208111
gjxl_ac_strategy_dct8x16_candidate_loss_parallel,8,Instruction Throughput Utilization,3.679291,21.134631685490184
gjxl_ac_strategy_dct32x16_candidate_loss_local,8,Instruction Throughput Utilization,8.398917,23.194101219462482
gjxl_ac_strategy_dct32_candidate_loss_local,8,Instruction Throughput Utilization,31.607784,18.573335824545353
gjxl_dct32_forward_simdgroup_2d_matmul_image,8,Instruction Throughput Utilization,3.889417,15.950200167791797
gjxl_aq_final_cfl,8,Instruction Throughput Utilization,2.502625,27.52270326073242
gjxl_aq_dc_quantize_simd_wave,8,Instruction Throughput Utilization,2.990876,2.711148172954513
gjxl_dct32_inverse_simdgroup_2d_matmul_image,8,Instruction Throughput Utilization,7.533458,16.016508167750533
gjxl_aq_gaborish_f32,8,Instruction Throughput Utilization,13.45346,5.598583699921677
gjxl_aq_epf_pass1_tile32x4_p2,8,Instruction Throughput Utilization,4.482374,24.987431013258618
gjxl_aq_epf_pass2_linear_tile32x4_p2,8,Instruction Throughput Utilization,11.198084,17.87222905693471
gjxl_butteraugli_malta_fixed_f32,8,Instruction Throughput Utilization,2.549708,23.918201498082396
gjxl_butteraugli_final_l2_masked_ac_f32,8,Instruction Throughput Utilization,9.075249,2.7033071137881657
gjxl_butteraugli_resident_l2_reduce_w64_simd,8,Instruction Throughput Utilization,4.076207,6.459999533880319
gjxl_ac_strategy_dct16_candidate_loss_parallel,8,Instruction Throughput Utilization,7.254378,22.536604625755448
all ordinary GPU active,11,Compute Shader Launch Limiter,662.110066,82.74760920559025
gjxl_aq_resident_input_transform,11,Compute Shader Launch Limiter,6.374792,99.93004106049315
gjxl_aq_resident_input_statistics,11,Compute Shader Launch Limiter,1.925875,100.0
gjxl_butteraugli_low_medium_p1_device,11,Compute Shader Launch Limiter,15.729545,99.86302023566753
gjxl_butteraugli_convolve_transpose_f32,11,Compute Shader Launch Limiter,9.670374,26.617117329174654
gjxl_butteraugli_subsample2x_f32,11,Compute Shader Launch Limiter,2.510083,80.12296316735211
gjxl_butteraugli_frequency_high_convolve_f32,11,Compute Shader Launch Limiter,9.845999,95.85274101865636
gjxl_butteraugli_frequency_suppress_x_f32,11,Compute Shader Launch Limiter,4.082791,62.74687586690953
gjxl_butteraugli_frequency_ultra_mask_convolve_f32,11,Compute Shader Launch Limiter,12.272249,96.43658462974946
gjxl_butteraugli_fuzzy_erosion_f32,11,Compute Shader Launch Limiter,1.030249,15.389455816358268
gjxl_convolve_symmetric5_f32,11,Compute Shader Launch Limiter,2.9835,51.94424430644894
gjxl_aq_initial_cfl,11,Compute Shader Launch Limiter,4.532375,0.0
gjxl_aq_initial_quant_gradient,11,Compute Shader Launch Limiter,1.95925,50.16438168185041
gjxl_aq_initial_quant_modulation,11,Compute Shader Launch Limiter,1.103041,46.69347363113855
gjxl_aq_validate_initial_mask,11,Compute Shader Launch Limiter,1.881417,6.688553226743759
gjxl_ac_strategy_dct16x8_candidate_loss_parallel,11,Compute Shader Launch Limiter,3.520834,100.0
gjxl_ac_strategy_dct8x16_candidate_loss_parallel,11,Compute Shader Launch Limiter,3.679291,100.0
gjxl_ac_strategy_dct32x16_candidate_loss_local,11,Compute Shader Launch Limiter,8.398917,99.38726919007756
gjxl_ac_strategy_dct32_candidate_loss_local,11,Compute Shader Launch Limiter,31.607784,99.52720728628402
gjxl_dct32_forward_simdgroup_2d_matmul_image,11,Compute Shader Launch Limiter,3.889417,100.0
gjxl_aq_final_cfl,11,Compute Shader Launch Limiter,2.502625,99.99499578423003
gjxl_aq_dc_quantize_simd_wave,11,Compute Shader Launch Limiter,2.990876,0.0
gjxl_dct32_inverse_simdgroup_2d_matmul_image,11,Compute Shader Launch Limiter,7.533458,100.0
gjxl_aq_gaborish_f32,11,Compute Shader Launch Limiter,13.45346,99.9228704494199
gjxl_aq_epf_pass1_tile32x4_p2,11,Compute Shader Launch Limiter,4.482374,100.0
gjxl_aq_epf_pass2_linear_tile32x4_p2,11,Compute Shader Launch Limiter,11.198084,100.0
gjxl_butteraugli_malta_fixed_f32,11,Compute Shader Launch Limiter,2.549708,100.0
gjxl_butteraugli_final_l2_masked_ac_f32,11,Compute Shader Launch Limiter,9.075249,100.0
gjxl_butteraugli_resident_l2_reduce_w64_simd,11,Compute Shader Launch Limiter,4.076207,97.11293561651605
gjxl_ac_strategy_dct16_candidate_loss_parallel,11,Compute Shader Launch Limiter,7.254378,99.03518891273765
all ordinary GPU active,12,ALU Utilization,662.110066,26.88725699237541
gjxl_aq_resident_input_transform,12,ALU Utilization,6.374792,8.813580453772314
