resolution_class,effort,stage,mean_ms
12mp,7,frontend.prepare_aq.reference.main.medium_b,1.4248123333333333
12mp,7,frontend.prepare_aq.reference.main.opsin,1.9497431666666667
12mp,7,frontend.prepare_aq.reference.main.suppress_x,0.6319723333333332
12mp,7,frontend.prepare_aq.reference.main.ultra_x,1.5979583333333336
12mp,7,frontend.prepare_aq.reference.main.ultra_y,2.6099443333333334
12mp,7,frontend.prepare_aq.reference.sub.high_x,0.4073056666666666
12mp,7,frontend.prepare_aq.reference.sub.high_y,0.3972361666666666
12mp,7,frontend.prepare_aq.reference.sub.low_medium,1.4273751666666665
12mp,7,frontend.prepare_aq.reference.sub.mask,0.503021
12mp,7,frontend.prepare_aq.reference.sub.medium_b,0.3545138333333333
12mp,7,frontend.prepare_aq.reference.sub.opsin,1.5252638333333335
12mp,7,frontend.prepare_aq.reference.sub.suppress_x,0.16640283333333336
12mp,7,frontend.prepare_aq.reference.sub.ultra_x,0.36518066666666665
12mp,7,frontend.prepare_aq.reference.sub.ultra_y,0.6353678333333334
12mp,7,frontend.quant_adjustment,0.042305333333333334
12mp,8,aq.epf.pass_1,5.641465166666666
12mp,8,aq.epf_linear.pass_2,5.023666666666666
12mp,8,aq.final_frame.dc_quantization,1.6727778333333336
12mp,8,aq.final_frame.dct16,0.27530550000000004
12mp,8,aq.final_frame.dct16x32,0.48906233333333327
12mp,8,aq.final_frame.dct16x8,0.17347933333333332
12mp,8,aq.final_frame.dct32,1.5421945000000001
12mp,8,aq.final_frame.dct32x16,0.39665316666666667
12mp,8,aq.final_frame.dct8,0.6927568333333333
12mp,8,aq.final_frame.dct8x16,0.24884716666666665
12mp,8,aq.final_frame.quantizer,0.49607633333333334
12mp,8,aq.gaborish,5.467791666666667
12mp,8,aq.policy_bounds,0.011069666666666667
12mp,8,aq.policy_initialize,0.021514000000000002
12mp,8,aq.policy_update,0.06735433333333334
12mp,8,aq.reconstruction.coefficients.dct16,0.6850206666666666
12mp,8,aq.reconstruction.coefficients.dct16x32,1.2157578333333334
12mp,8,aq.reconstruction.coefficients.dct16x8,0.43834049999999997
12mp,8,aq.reconstruction.coefficients.dct32,3.715492833333333
12mp,8,aq.reconstruction.coefficients.dct32x16,1.0392986666666666
12mp,8,aq.reconstruction.coefficients.dct8,1.7947501666666668
12mp,8,aq.reconstruction.coefficients.dct8x16,0.5749236666666666
12mp,8,aq.reconstruction.dc_llf,0.7723548333333333
12mp,8,aq.reconstruction.dc_quantization,4.936541833333334
12mp,8,aq.reconstruction.dc_smoothing,0.08254866666666667
12mp,8,aq.reconstruction.dct16,0.24274333333333334
12mp,8,aq.reconstruction.dct16x32,0.4779445
12mp,8,aq.reconstruction.dct16x8,0.2417015
12mp,8,aq.reconstruction.dct32,1.9643613333333334
12mp,8,aq.reconstruction.dct32x16,0.3014098333333333
12mp,8,aq.reconstruction.dct8,1.1591323333333334
12mp,8,aq.reconstruction.dct8x16,0.30811783333333337
12mp,8,aq.reconstruction.final_cfl,16.420652666666665
