resolution_class,effort,sample_count,ordinary_ms,profiled_ms,all_gpu_ms,all_gpu_percent,perceptual_ms,perceptual_percent,comparison_ms,comparison_percent,ac_search_ms,ac_search_percent,serializer_ms,serializer_percent,entropy_ms,entropy_percent,orchestration_ms,orchestration_percent
clic_1_8_to_3_4mp,1,12,24.062374916666666,22.85973625,4.729218833333333,20.687985117646896,0.0,0.0,0.0,0.0,0.0,0.0,12.9126285,56.48634069432888,2.752559,12.041079432839037,3.5223195,15.408399561040428
clic_1_8_to_3_4mp,2,12,22.144951583333334,23.485024416666665,5.366028166666666,22.848722962615046,0.0,0.0,0.0,0.0,0.0,0.0,12.928041583333334,55.04802274831217,2.7522814166666665,11.71930404600069,3.4755099166666668,14.79883458924656
clic_1_8_to_3_4mp,3,12,22.754173666666667,23.09852075,5.174857666666666,22.403415883965927,0.0,0.0,0.0,0.0,0.0,0.0,12.625187666666667,54.65799218621681,2.6502256666666666,11.47357311470548,3.400211666666667,14.720473676508773
clic_1_8_to_3_4mp,4,12,25.103201416666668,24.603951416666668,5.70035025,23.168434018848668,0.0,0.0,0.0,0.0,0.0,0.0,13.645364666666667,55.4600536945595,3.458552,14.056896558725864,3.4269658333333335,13.92851812823819
clic_1_8_to_3_4mp,5,12,59.224204916666665,59.968027666666664,38.67294341666667,64.48927023518416,16.70264775,27.852588120526427,10.178615333333333,16.973403544154138,10.510961583333334,17.527609281663718,14.48193775,24.14943147788369,4.195805666666667,6.996737811670457,4.8560981666666665,8.097812043543225
clic_1_8_to_3_4mp,6,12,59.249045249999995,60.05656925,38.543141500000004,64.17806075394492,16.733008083333335,27.86207785809099,10.2265315,17.028164658273415,10.417101,17.345481318848396,14.616014083333333,24.337077968091446,4.345659833333333,7.23594418995776,5.025104916666667,8.367286009542855
clic_1_8_to_3_4mp,7,12,75.32595133333334,76.40328125,53.91490508333333,70.56621679233616,26.792169083333334,35.06677808203863,20.340693833333333,26.622801404008197,10.4407775,13.66535223249983,14.9564895,19.575716193471727,4.57746875,5.991193931870564,5.52986925,7.237737908016876
clic_1_8_to_3_4mp,8,12,122.47199991666666,123.74750341666666,73.08492075,59.05971331309841,36.82432266666667,29.757628760134697,30.41506925,24.578329590691048,10.386510583333333,8.39330919538733,42.28940275,34.17394418666255,31.176503416666666,25.193642340963564,6.152923166666667,4.972159434966002
clic_1_8_to_3_4mp,9,12,138.3934165,140.15312508333332,88.802845,63.361302109531216,47.368475000000004,33.79765879058016,40.90298516666667,29.184497414771347,10.412260833333333,7.429203470948172,42.90427783333333,30.612430374151828,31.342756916666666,22.363223722646676,6.28444675,4.4839861731683435
clic_1_8_to_3_4mp,10,12,147.445559,149.04535083333334,95.31883341666666,63.95290620185451,47.165216,31.6448756947417,40.585362833333335,27.230210540895712,17.36887175,11.653413979629835,43.135638916666664,28.941284431543348,31.700072833333333,21.268743141663798,8.447010333333333,5.667409473764139
kodak_0_4mp,1,6,9.4167915,9.614263666666666,2.767972,28.79026513072192,0.0,0.0,0.0,0.0,0.0,0.0,5.316430666666666,55.29732542180124,1.7616943333333333,18.323757225852383,0.8964656666666666,9.324329951286614
kodak_0_4mp,2,6,9.3384725,8.940180666666667,2.8915208333333333,32.34297986968347,0.0,0.0,0.0,0.0,0.0,0.0,4.325736333333333,48.38533464387111,1.6744655,18.729660645933254,1.0247986666666666,11.462840683831072
kodak_0_4mp,3,6,8.738777666666667,8.859284833333334,2.7498536666666666,31.039228542695195,0.0,0.0,0.0,0.0,0.0,0.0,4.189743166666667,47.29211494479361,1.6943405,19.125025686328446,1.1727091666666667,13.237063586152146
kodak_0_4mp,4,6,10.0670485,10.2921875,4.0371448333333335,39.22533313091443,0.0,0.0,0.0,0.0,0.0,0.0,4.611069166666667,44.801643641516115,1.7210346666666667,16.72175780577906,1.018487,9.89572916350387
kodak_0_4mp,5,6,14.517909833333334,14.719965,7.412306833333333,50.35546506620996,2.1432993333333332,14.5604920482714,1.3078963333333333,8.885186434433326,1.8027641666666665,12.247068295791916,4.692722166666667,31.879981825137946,1.9461526666666666,13.22117726955646,1.9209918333333333,13.05024728885791
kodak_0_4mp,6,6,14.6759305,15.118951166666667,7.631728166666667,50.47789415110111,2.2504441666666666,14.884922517828533,1.3673543333333333,9.043976121491761,1.8645556666666667,12.332572849216712,4.8517985,32.09084047243268,1.9739373333333332,13.05604675597702,1.8225078333333333,12.054459421441129
kodak_0_4mp,7,6,17.1066735,17.991701333333335,10.442206500000001,58.03901646951899,3.6284855,20.167550765627055,2.765944,15.373443282295481,1.7939446666666667,9.970956239380289,4.396285,24.43507102830223,1.7074098333333332,9.489985419944718,2.3726058333333335,13.18722331688328
kodak_0_4mp,8,6,27.676812833333333,29.47936083333333,14.3670385,48.735922672226636,5.0314293333333335,17.067633731203976,4.170784,14.148149356359012,1.8033271666666666,6.117253277172762,11.4209655,38.742242630599776,8.6289305,29.27109087875124,2.7699963333333333,9.39639210291562
kodak_0_4mp,9,6,30.661951166666668,32.254583333333336,17.069207333333335,52.92025371071294,6.32489,19.609275167611838,5.461368666666667,16.9320701192337,1.8909305,5.862517213315937,11.467757,35.55388355660048,8.783236166666667,27.230970792264664,2.907994,9.015754350156953
kodak_0_4mp,10,6,31.419006833333334,33.1459235,17.172908166666666,51.81001569217604,6.3642355,19.200658264959795,5.431319,16.386084400393912,2.0824446666666665,6.282656950760978,11.217805499999999,33.8436957413481,8.444861166666666,25.477827361384772,3.698932166666667,11.15953871874068
