case,image,stratum,effort,distance,prediction,backend,flags,dc_samples,dc_leaves,contexts,legacy_bytes,adaptive_bytes,delta_bytes,delta_percent,decoded_equal,byte_identical
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384-metal-gradient-f2,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384,thumbnail,4,1.0,gradient,metal,2,5184,4,15,9517,9601,84,0.8826310812230745,True,False
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384-metal-gradient-f3,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384,thumbnail,4,1.0,gradient,metal,3,5184,4,15,9899,9941,42,0.42428528134154964,True,False
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384-metal-weighted-f0,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384,thumbnail,4,1.0,weighted,metal,0,5184,4,15,9354,9379,25,0.26726534103057514,True,False
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384-metal-weighted-f1,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384,thumbnail,4,1.0,weighted,metal,1,5184,4,15,9726,9753,27,0.27760641579272055,True,False
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384-metal-weighted-f2,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384,thumbnail,4,1.0,weighted,metal,2,5184,4,15,9344,9376,32,0.3424657534246575,True,False
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384-metal-weighted-f3,clic2024_test--097cb426910ba8ce2525dd8bb7fb1777-thumb384,thumbnail,4,1.0,weighted,metal,3,5184,4,15,9701,9716,15,0.1546232347180703,True,False
edge-cpu-gradient-f0,edge,compact,4,1.0,gradient,cpu,0,2475,2,13,650,585,-65,-10.0,True,False
edge-cpu-gradient-f1,edge,compact,4,1.0,gradient,cpu,1,2475,2,13,656,591,-65,-9.908536585365853,True,False
edge-cpu-gradient-f2,edge,compact,4,1.0,gradient,cpu,2,2475,2,13,649,584,-65,-10.015408320493066,True,False
edge-cpu-gradient-f3,edge,compact,4,1.0,gradient,cpu,3,2475,2,13,655,590,-65,-9.923664122137405,True,False
edge-cpu-weighted-f0,edge,compact,4,1.0,weighted,cpu,0,2475,2,13,710,649,-61,-8.591549295774648,True,False
edge-cpu-weighted-f1,edge,compact,4,1.0,weighted,cpu,1,2475,2,13,718,666,-52,-7.242339832869081,True,False
edge-cpu-weighted-f2,edge,compact,4,1.0,weighted,cpu,2,2475,2,13,709,648,-61,-8.603667136812412,True,False
edge-cpu-weighted-f3,edge,compact,4,1.0,weighted,cpu,3,2475,2,13,717,665,-52,-7.252440725244073,True,False
edge-metal-gradient-f0,edge,compact,4,1.0,gradient,metal,0,2475,2,13,650,585,-65,-10.0,True,False
edge-metal-gradient-f1,edge,compact,4,1.0,gradient,metal,1,2475,2,13,651,586,-65,-9.98463901689708,True,False
edge-metal-gradient-f2,edge,compact,4,1.0,gradient,metal,2,2475,2,13,649,584,-65,-10.015408320493066,True,False
edge-metal-gradient-f3,edge,compact,4,1.0,gradient,metal,3,2475,2,13,655,589,-66,-10.076335877862595,True,False
edge-metal-weighted-f0,edge,compact,4,1.0,weighted,metal,0,2475,2,13,711,650,-61,-8.579465541490858,True,False
edge-metal-weighted-f1,edge,compact,4,1.0,weighted,metal,1,2475,2,13,723,674,-49,-6.77731673582296,True,False
edge-metal-weighted-f2,edge,compact,4,1.0,weighted,metal,2,2475,2,13,710,649,-61,-8.591549295774648,True,False
edge-metal-weighted-f3,edge,compact,4,1.0,weighted,metal,3,2475,2,13,713,665,-48,-6.732117812061711,True,False
flat-cpu-gradient-f0,flat,compact,4,1.0,gradient,cpu,0,576,2,13,156,92,-64,-41.02564102564103,True,False
flat-cpu-gradient-f1,flat,compact,4,1.0,gradient,cpu,1,576,2,13,162,99,-63,-38.888888888888886,True,False
flat-cpu-gradient-f2,flat,compact,4,1.0,gradient,cpu,2,576,2,13,155,91,-64,-41.29032258064516,True,False
flat-cpu-gradient-f3,flat,compact,4,1.0,gradient,cpu,3,576,2,13,161,98,-63,-39.130434782608695,True,False
flat-cpu-weighted-f0,flat,compact,4,1.0,weighted,cpu,0,576,2,13,162,93,-69,-42.592592592592595,True,False
flat-cpu-weighted-f1,flat,compact,4,1.0,weighted,cpu,1,576,2,13,169,99,-70,-41.42011834319526,True,False
flat-cpu-weighted-f2,flat,compact,4,1.0,weighted,cpu,2,576,2,13,161,92,-69,-42.857142857142854,True,False
flat-cpu-weighted-f3,flat,compact,4,1.0,weighted,cpu,3,576,2,13,168,98,-70,-41.666666666666664,True,False
flat-metal-gradient-f0,flat,compact,4,1.0,gradient,metal,0,576,2,13,156,92,-64,-41.02564102564103,True,False
flat-metal-gradient-f1,flat,compact,4,1.0,gradient,metal,1,576,2,13,162,99,-63,-38.888888888888886,True,False
flat-metal-gradient-f2,flat,compact,4,1.0,gradient,metal,2,576,2,13,155,91,-64,-41.29032258064516,True,False
flat-metal-gradient-f3,flat,compact,4,1.0,gradient,metal,3,576,2,13,161,98,-63,-39.130434782608695,True,False
flat-metal-weighted-f0,flat,compact,4,1.0,weighted,metal,0,576,2,13,162,93,-69,-42.592592592592595,True,False
flat-metal-weighted-f1,flat,compact,4,1.0,weighted,metal,1,576,2,13,169,99,-70,-41.42011834319526,True,False
flat-metal-weighted-f2,flat,compact,4,1.0,weighted,metal,2,576,2,13,161,92,-69,-42.857142857142854,True,False
flat-metal-weighted-f3,flat,compact,4,1.0,weighted,metal,3,576,2,13,168,98,-70,-41.666666666666664,True,False
