case,kernel,trace_calls_per_encode,s103_gpu_ms_per_encode,s103_kernel_percent,profiled_ns,gpc_mhz,dram_mhz,dram_read_bytes,dram_write_bytes,dram_GB_s,dram_percent,lsu_percent_active,l2_percent_elapsed,fma_percent_active,occupancy_percent,eligible_warps,issue_active_percent,registers_per_thread,static_shared_bytes,long_scoreboard_cycles_per_issue,mio_throttle_cycles_per_issue,anomalies
4k,"void unnamed>::InverseDctFactoredKernel<8, 16, unnamed>::AcStrategyResidualDctSource, unnamed>::AcStrategyDctLossOutput<8, 16>>(T3, T4, unsigned long long)",1.0,2.1243541666666665,1.2714417886390263,1450304.0,1282.30403189,5495.25616698,210416256.0,5421056.0,148.8221172940294,56.42,79.96,23.81,22.65,65.17,1.79,67.14,46.0,2304.0,3.85,0.58,
4k,"unnamed>::SuppressXKernel(float *, const float *, unnamed>::PlaneParams)",6.0,2.0446763333333333,1.2237540120348198,405376.0,1278.9484330599998,5495.00052626,66313344.0,33013888.0,245.02494474265868,92.9,13.35,26.18,10.85,81.57,0.4,27.61,16.0,0.0,28.28,0.07,
4k,"void unnamed>::InverseDctFactoredKernel<16, 8, unnamed>::AcStrategyResidualDctSource, unnamed>::AcStrategyDctLossOutput<16, 8>>(T3, T4, unsigned long long)",1.0,1.977613833333333,1.1836166063759523,1344992.0,1282.31890351,5495.3724631800005,210558208.0,5431680.0,160.58823249506318,60.88,75.85,23.87,23.57,65.1,1.89,68.72,40.0,2176.0,3.79,0.38,
4k,"unnamed>::SubsampleKernel(const float *, float *, unnamed>::SubsampleParams)",9.0,1.8390026666666668,1.1006567909001077,166880.0,1281.65348354,5491.85043145,33158400.0,8690560.0,250.77277085330778,95.13,12.27,26.78,7.16,85.97,0.3,21.57,22.0,0.0,42.48,0.02,
4k,"unnamed>::ModulationKernel(const float *, const float *, const float *, float *, unsigned int *, CudaAqGeometry, float, float)",1.0,1.8013483333333333,1.0781203919914149,1927904.0,1280.7401198399998,5495.244576489999,286965760.0,1630592.0,149.69435822530582,56.75,3.01,26.46,2.99,70.88,0.06,5.21,45.0,0.0,156.85,0.01,
4k,"unnamed>::SelectionHistogramKernel(const float *, const float *, unsigned int *, const unsigned int *, unsigned int, unsigned int, bool)",32.0,1.7937770000000002,1.0735888926083246,109056.0,1281.18275626,5492.9577464799995,521216.0,62976.0,5.356807511737089,2.03,1.21,4.61,0.25,71.71,0.02,0.96,16.0,0.0,67.55,86.94,
4k,"unnamed>::OpsinToLinearKernel(const float *, const float *, const float *, float *, float *, float *, unsigned int *, CudaAqColorParams)",2.0,1.7913958333333333,1.072163746625974,801696.0,1279.24425219,5495.33655317,99492736.0,99414400.0,248.10793118588592,94.06,11.8,34.92,9.06,83.34,0.37,22.61,20.0,0.0,37.26,0.14,
4k,"void unnamed>::ForwardDctFactoredKernel<16, 16, unnamed>::AcStrategyDctSource<16, 16>>(T3, float *, unsigned long long)",1.0,1.7764356666666667,1.0632099754688555,1716160.0,1281.61127168,5495.23276773,101924352.0,303574400.0,236.28260302069737,89.58,31.23,36.51,12.79,65.55,0.83,26.45,44.0,4352.0,9.03,9.64,
4k,"void unnamed>::InverseDctFactoredKernel<16, 32, unnamed>::AcStrategyResidualDctSource, unnamed>::AcStrategyDctLossOutput<16, 32>>(T3, T4, unsigned long long)",1.0,1.6321329999999998,0.9768437548588829,1156864.0,1274.54797337,5495.31607288,182839680.0,2313984.0,160.04790882938704,60.68,78.5,43.35,25.48,65.42,2.53,71.79,64.0,4352.0,2.4,0.7,
4k,"void unnamed>::ForwardDctFactoredKernel<16, 8, unnamed>::AcStrategyDctSource<16, 8>>(T3, float *, unsigned long long)",1.0,1.6161596666666667,0.9672835959067965,1394048.0,1274.62134255,5495.17950601,102280576.0,173363968.0,197.72959324212653,74.96,44.4,25.7,12.14,65.29,0.77,27.07,30.0,2176.0,20.46,2.42,
